k	dataset	cluster.size	sindex	noisen	diameter	average.distance	median.distance	average.between	average.within	within.cluster.ss	clus.avg.silwidths	avg_sil	dunn	dunn2	entropy	wb.ratio
k2	1	70, 82	0.16	0	0.72, 0.82	0.36, 0.41	0.36, 0.42	0.57	0.39	12.78	0.35, 0.26	0.3	0.13	1.39	0.69	0.68
k3	1	52, 56, 44	0.16	0	0.63, 0.74, 0.63	0.32, 0.39, 0.3	0.32, 0.41, 0.28	0.55	0.34	9.72	0.35, 0.21, 0.34	0.3	0.14	1.31	1.09	0.61
k4	1	45, 36, 36, 35	0.1	0	0.67, 0.55, 0.75, 0.58	0.34, 0.29, 0.37, 0.31	0.34, 0.28, 0.34, 0.31	0.53	0.33	9.37	0.3, 0.23, 0.08, 0.27	0.22	0.11	1.16	1.38	0.62
k5	1	43, 1, 38, 33, 37	0.1	0	0.66, NA, 0.76, 0.58, 0.55	0.33, NaN, 0.4, 0.31, 0.29	0.33, NA, 0.36, 0.3, 0.29	0.53	0.33	9.54	0.31, 0, -0.11, 0.04, 0.25	0.1	0.11	0.84	1.41	0.63
k6	1	32, 1, 32, 26, 18, 43	0.13	0	0.58, NA, 0.58, 0.63, 0.47, 0.57	0.27, NaN, 0.3, 0.34, 0.24, 0.3	0.27, NA, 0.3, 0.32, 0.25, 0.31	0.53	0.29	7.29	0.41, 0, 0.06, -0.02, 0.48, 0.17	0.18	0.15	0.98	1.6	0.56
k7	1	1, 28, 34, 24, 32, 18, 15	0.1	0	NA, 0.57, 0.52, 0.65, 0.55, 0.47, 0.56	NaN, 0.24, 0.28, 0.34, 0.31, 0.24, 0.3	NA, 0.23, 0.28, 0.34, 0.32, 0.25, 0.27	0.52	0.29	6.83	0, 0.44, 0.1, -0.03, -0.05, 0.47, 0.17	0.16	0.13	0.91	1.78	0.55
k8	1	26, 13, 18, 29, 26, 8, 31, 1	0.12	0	0.57, 0.56, 0.47, 0.55, 0.49, 0.6, 0.61, NA	0.23, 0.32, 0.24, 0.3, 0.24, 0.43, 0.32, NaN	0.22, 0.31, 0.25, 0.31, 0.25, 0.43, 0.31, NA	0.52	0.28	6.68	0.43, 0.12, 0.47, -0.02, 0.25, -0.14, -0.01, 0	0.14	0.16	0.73	1.9	0.55
k9	1	25, 14, 18, 26, 7, 23, 1, 23, 15	0.12	0	0.4, 0.71, 0.47, 0.49, 0.37, 0.58, NA, 0.54, 0.66	0.21, 0.42, 0.24, 0.24, 0.24, 0.28, NaN, 0.31, 0.38	0.21, 0.42, 0.25, 0.25, 0.24, 0.28, NA, 0.31, 0.36	0.51	0.28	6.84	0.45, -0.21, 0.45, 0.19, 0.23, -0.04, 0, -0.02, -0.17	0.1	0.14	0.74	2.05	0.55
k10	1	13, 25, 6, 17, 6, 23, 26, 12, 23, 1	0.12	0	0.71, 0.4, 0.47, 0.47, 0.35, 0.57, 0.49, 0.78, 0.52, NA	0.42, 0.21, 0.35, 0.23, 0.26, 0.28, 0.24, 0.39, 0.32, NaN	0.42, 0.21, 0.38, 0.22, 0.26, 0.29, 0.25, 0.37, 0.32, NA	0.51	0.29	6.83	-0.18, 0.4, -0.05, 0.45, 0.14, -0.09, 0.24, -0.16, -0.03, 0	0.07	0.13	0.74	2.11	0.56
k11	1	25, 5, 24, 6, 4, 16, 1, 12, 20, 22, 17	0.12	0	0.49, 0.51, 0.39, 0.56, 0.31, 0.51, NA, 0.71, 0.61, 0.46, 0.47	0.24, 0.38, 0.21, 0.35, 0.25, 0.3, NaN, 0.43, 0.34, 0.26, 0.23	0.23, 0.36, 0.21, 0.33, 0.26, 0.3, NA, 0.42, 0.34, 0.27, 0.22	0.51	0.28	6.5	0.26, -0.15, 0.32, -0.08, 0.14, 0.04, 0, -0.19, -0.1, 0.05, 0.42	0.06	0.13	0.74	2.19	0.55
k12	1	17, 23, 1, 12, 19, 16, 17, 6, 12, 25, 4	0.12	0	0.42, 0.39, NA, 0.66, 0.61, 0.56, 0.47, 0.5, 0.71, 0.49, 0.35	0.22, 0.21, NaN, 0.34, 0.33, 0.31, 0.23, 0.4, 0.43, 0.24, 0.26	0.22, 0.21, NA, 0.33, 0.34, 0.31, 0.22, 0.43, 0.42, 0.23, 0.26	0.51	0.28	6.58	0.22, 0.35, 0, -0.12, -0.08, 0.03, 0.42, -0.29, -0.21, 0.28, 0.07	0.06	0.13	0.75	2.23	0.55
k13	1	4, 8, 16, 18, 17, 10, 11, 2, 19, 1, 25, 20, 1	0.1	0	0.48, 0.43, 0.56, 0.43, 0.47, 0.71, 0.66, 0.25, 0.36, NA, 0.49, 0.61, NA	0.36, 0.24, 0.31, 0.23, 0.23, 0.43, 0.35, 0.25, 0.2, NaN, 0.24, 0.34, NaN	0.37, 0.26, 0.31, 0.23, 0.22, 0.42, 0.33, 0.25, 0.2, NA, 0.23, 0.34, NA	0.51	0.28	6.34	-0.2, 0, -0.02, 0.17, 0.39, -0.19, -0.16, 0.14, 0.21, 0, 0.23, -0.17, 0	0.03	0.13	0.63	2.3	0.55
k14	1	5, 18, 9, 17, 8, 17, 4, 8, 16, 9, 1, 15, 21, 4	0.09	0	0.59, 0.36, 0.68, 0.47, 0.43, 0.51, 0.37, 0.36, 0.42, 0.4, NA, 0.51, 0.44, 0.42	0.36, 0.19, 0.42, 0.23, 0.24, 0.32, 0.25, 0.23, 0.22, 0.29, NaN, 0.3, 0.23, 0.33	0.38, 0.19, 0.41, 0.22, 0.26, 0.34, 0.24, 0.24, 0.22, 0.3, NA, 0.29, 0.25, 0.33	0.5	0.26	5.69	-0.26, 0.27, -0.17, 0.44, 0.07, -0.12, 0.09, 0.23, 0.16, -0.07, 0, -0.02, 0.09, -0.02	0.05	0.12	0.63	2.46	0.53
k15	1	8, 7, 4, 8, 13, 1, 15, 15, 6, 9, 19, 17, 17, 4, 9	0.09	0	0.4, 0.4, 0.59, 0.43, 0.49, NA, 0.43, 0.51, 0.46, 0.71, 0.43, 0.33, 0.47, 0.42, 0.4	0.24, 0.25, 0.38, 0.24, 0.28, NaN, 0.23, 0.31, 0.29, 0.43, 0.22, 0.19, 0.23, 0.33, 0.29	0.24, 0.24, 0.4, 0.26, 0.27, NA, 0.25, 0.34, 0.31, 0.42, 0.24, 0.19, 0.22, 0.33, 0.3	0.5	0.26	5.56	0.17, 0.1, -0.26, 0.07, 0.07, 0, 0.12, -0.11, -0.15, -0.23, 0.06, 0.27, 0.46, -0.02, -0.07	0.03	0.11	0.61	2.56	0.53
k2	2	70, 82	0.18	0	1.52, 1.6	0.63, 0.87	0.58, 0.85	1.11	0.76	52.63	0.42, 0.17	0.29	0.06	1.27	0.69	0.68
k3	2	52, 56, 44	0.13	0	1.52, 1.48, 1.55	0.66, 0.67, 0.74	0.6, 0.65, 0.75	1.06	0.69	41.96	0.07, 0.41, -0.07	0.14	0.06	0.97	1.09	0.64
k4	2	45, 36, 36, 35	0.13	0	0.92, 1.22, 1.55, 1.24	0.5, 0.43, 0.8, 0.63	0.55, 0.4, 0.66, 0.62	1.06	0.59	31.13	0.56, 0.38, -0.29, 0.22	0.21	0.06	0.88	1.38	0.55
k5	2	43, 1, 38, 33, 37	0.13	0	0.92, NA, 1.55, 1.24, 1.22	0.5, NaN, 0.84, 0.63, 0.44	0.52, NA, 0.73, 0.62, 0.41	1.05	0.6	32.82	0.55, 0, -0.34, -0.17, 0.4	0.09	0.06	0.65	1.41	0.57
k6	2	32, 1, 32, 26, 18, 43	0.18	0	0.92, NA, 1.01, 1.31, 0.56, 1.51	0.38, NaN, 0.61, 0.67, 0.29, 0.48	0.35, NA, 0.6, 0.6, 0.26, 0.42	1.05	0.5	22.57	0.45, 0, -0.16, -0.12, 0.58, 0.24	0.16	0.07	0.8	1.6	0.47
k7	2	1, 28, 34, 24, 32, 18, 15	0.13	0	NA, 0.92, 0.66, 1.52, 0.94, 0.56, 1.41	NaN, 0.38, 0.34, 0.75, 0.6, 0.29, 0.86	NA, 0.34, 0.34, 0.61, 0.59, 0.26, 0.86	1.03	0.51	24.68	0, 0.44, 0.52, -0.22, -0.16, 0.57, -0.4	0.11	0.06	0.62	1.78	0.5
k8	2	26, 13, 18, 29, 26, 8, 31, 1	0.16	0	0.78, 1.48, 0.56, 0.94, 1.51, 1.49, 0.87, NA	0.35, 0.91, 0.29, 0.57, 0.33, 0.94, 0.52, NaN	0.33, 0.93, 0.26, 0.57, 0.23, 1, 0.53, NA	1.02	0.5	23.25	0.48, -0.38, 0.57, -0.14, 0.43, -0.44, 0.04, 0	0.07	0.06	0.54	1.9	0.49
k9	2	25, 14, 18, 26, 7, 23, 1, 23, 15	0.16	0	0.62, 1.36, 0.56, 1.51, 1.48, 0.92, NA, 0.87, 1.39	0.33, 0.81, 0.29, 0.33, 0.88, 0.55, NaN, 0.52, 0.81	0.31, 0.75, 0.26, 0.23, 0.84, 0.54, NA, 0.52, 0.83	1.01	0.5	24.33	0.51, -0.36, 0.57, 0.43, -0.33, -0.11, 0, 0.04, -0.33	0.05	0.06	0.58	2.05	0.5
k10	2	13, 25, 6, 17, 6, 23, 26, 12, 23, 1	0.16	0	1.34, 0.62, 1.18, 0.46, 1.46, 0.92, 1.51, 1.33, 0.87, NA	0.8, 0.33, 0.82, 0.26, 0.94, 0.56, 0.33, 0.76, 0.53, NaN	0.75, 0.31, 0.95, 0.25, 0.85, 0.56, 0.23, 0.63, 0.53, NA	1.01	0.51	24.24	-0.34, 0.51, -0.27, 0.6, -0.39, -0.15, 0.43, -0.28, 0.01, 0	0.01	0.06	0.54	2.11	0.5
k11	2	25, 5, 24, 6, 4, 16, 1, 12, 20, 22, 17	0.16	0	1.49, 1.29, 0.62, 1.13, 1.52, 0.98, NA, 1.34, 0.8, 0.92, 0.46	0.33, 0.8, 0.33, 0.81, 1.05, 0.57, NaN, 0.78, 0.5, 0.53, 0.26	0.23, 0.62, 0.31, 0.83, 1.15, 0.58, NA, 0.74, 0.49, 0.52, 0.25	1	0.49	22.09	0.42, -0.3, 0.51, -0.33, -0.53, -0.16, 0, -0.33, 0.11, -0.09, 0.6	-0.01	0.06	0.47	2.19	0.49
k12	2	17, 23, 1, 12, 19, 16, 17, 6, 12, 25, 4	0.16	0	0.92, 0.62, NA, 1.33, 0.69, 0.87, 0.46, 1.4, 1.34, 1.49, 1.17	0.53, 0.33, NaN, 0.74, 0.48, 0.53, 0.26, 0.93, 0.78, 0.33, 0.96	0.52, 0.31, NA, 0.69, 0.48, 0.54, 0.25, 1, 0.74, 0.23, 1.13	1	0.49	22.66	-0.06, 0.51, 0, -0.29, 0.11, -0.1, 0.6, -0.49, -0.33, 0.4, -0.47	-0.01	0.06	0.53	2.23	0.49
k13	2	4, 8, 16, 18, 17, 10, 11, 2, 19, 1, 25, 20, 1	0.16	0	1.19, 0.46, 0.87, 0.92, 0.46, 1.34, 1.33, 1.16, 0.58, NA, 1.49, 0.8, NA	0.88, 0.27, 0.53, 0.53, 0.26, 0.79, 0.74, 1.16, 0.33, NaN, 0.33, 0.5, NaN	0.91, 0.26, 0.54, 0.53, 0.25, 0.78, 0.67, 1.16, 0.32, NA, 0.23, 0.49, NA	1	0.47	20.07	-0.4, 0.2, -0.2, -0.07, 0.6, -0.34, -0.32, -0.55, 0, 0, 0.26, 0, 0	-0.06	0.06	0.29	2.3	0.47
k14	2	5, 18, 9, 17, 8, 17, 4, 8, 16, 9, 1, 15, 21, 4	0.13	0	1.34, 0.58, 1.34, 0.46, 0.46, 0.8, 1.46, 1.52, 0.83, 0.84, NA, 0.87, 0.41, 1.31	0.81, 0.32, 0.77, 0.26, 0.27, 0.52, 0.98, 0.68, 0.5, 0.57, NaN, 0.53, 0.23, 0.92	0.77, 0.31, 0.76, 0.25, 0.26, 0.5, 0.95, 0.54, 0.49, 0.57, NA, 0.54, 0.23, 0.93	0.99	0.47	19.67	-0.4, 0.03, -0.31, 0.6, 0.21, 0.06, -0.43, -0.43, -0.02, -0.17, 0, -0.15, 0.53, -0.38	-0.06	0.06	0.35	2.46	0.48
k15	2	8, 7, 4, 8, 13, 1, 15, 15, 6, 9, 19, 17, 17, 4, 9	0.13	0	1.52, 1.06, 1.34, 0.46, 0.87, NA, 0.83, 0.66, 1.48, 1.34, 0.34, 0.58, 0.46, 1.31, 0.84	0.67, 0.76, 0.88, 0.27, 0.55, NaN, 0.5, 0.49, 0.98, 0.77, 0.22, 0.32, 0.26, 0.92, 0.57	0.52, 0.78, 0.87, 0.26, 0.57, NA, 0.51, 0.49, 1.32, 0.76, 0.22, 0.31, 0.25, 0.93, 0.57	0.98	0.49	21.59	-0.48, -0.33, -0.45, 0.21, -0.16, 0, -0.02, 0.08, -0.59, -0.29, 0.54, 0.04, 0.6, -0.38, -0.17	-0.09	0.06	0.35	2.56	0.5
k2	3	70, 82	0	0	1.07, 1.25	0.88, 0.89	1.02, 1.02	0.9	0.89	65.76	0.02, 0.01	0.02	0	1.01	0.69	0.98
k3	3	52, 56, 44	0	0	1.07, 1.17, 1.05	0.92, 0.88, 0.82	1.02, 1.01, 1.01	0.9	0.88	64	-0.03, 0, 0.06	0.01	0	0.96	1.09	0.97
k4	3	45, 36, 36, 35	0	0	1.17, 1.05, 1.07, 1.06	0.86, 0.81, 0.95, 0.92	1.01, 1.01, 1.02, 1.02	0.9	0.88	64.25	0.01, 0.05, -0.08, -0.05	-0.02	0	0.92	1.38	0.98
k5	3	43, 1, 38, 33, 37	0	0	1.17, NA, 1.07, 1.06, 1.05	0.86, NaN, 0.95, 0.91, 0.82	1.01, NA, 1.02, 1.01, 1.01	0.9	0.88	63.89	-0.02, 0, -0.08, -0.07, 0.02	-0.03	0	0.92	1.41	0.98
k6	3	32, 1, 32, 26, 18, 43	0	0	1.17, NA, 1.06, 1.06, 1.05, 1.05	0.85, NaN, 0.92, 0.93, 0.72, 0.83	1.01, NA, 1.02, 1.02, 0.73, 1.01	0.9	0.86	60.36	-0.03, 0, -0.07, -0.06, 0.2, 0.01	0.01	0	0.93	1.6	0.95
k7	3	1, 28, 34, 24, 32, 18, 15	0	0	NA, 1.17, 1.05, 1.07, 1.06, 1.05, 1.03	NaN, 0.84, 0.86, 1, 0.92, 0.72, 0.69	NA, 1.01, 1.01, 1.02, 1.02, 0.73, 1.01	0.9	0.86	60.04	0, -0.08, -0.08, -0.15, -0.13, 0.16, 0.06	-0.03	0	0.78	1.78	0.95
k8	3	26, 13, 18, 29, 26, 8, 31, 1	0	0	1.17, 1.03, 1.05, 1.06, 1.05, 1.06, 1.05, NA	0.83, 0.62, 0.72, 0.91, 0.87, 0.99, 0.94, NaN	1.01, 0.77, 0.73, 1.02, 1.01, 1.02, 1.02, NA	0.9	0.85	58.83	-0.09, 0.11, 0.14, -0.14, -0.09, -0.2, -0.14, 0	-0.05	0	0.75	1.9	0.94
k9	3	25, 14, 18, 26, 7, 23, 1, 23, 15	0	0	1.17, 1.06, 1.05, 1.05, 1.03, 1.05, NA, 1.05, 1.06	0.82, 0.67, 0.72, 0.87, 0.96, 0.89, NaN, 0.91, 1	1.01, 0.86, 0.73, 1.01, 1.02, 1.01, NA, 1.02, 1.02	0.9	0.85	58.59	-0.07, 0.06, 0.15, -0.07, -0.18, -0.12, 0, -0.12, -0.17	-0.06	0	0.76	2.05	0.95
